2016/07/08 - ramlat5 -- [ ramlat -s 100 16384 ]


wtap - x86_64 (core i5-3320M @3.3 GHz)
   size:     4B     8B    16B    32B    64B
 65536k:     38     34     14     21     14 
131072k:     38     34     11     23     18 
262144k:     38     34     14     21     17 

NanoPI3 - armv7 (S5P6818 @1.4 GHz - 32kB L1 - 512kB shared L2 - CA53)
   size:     4B     8B    16B    32B    64B
     4k:   1355    662    346    177     89 
     8k:   1355    662    346    177     89 
    16k:   1355    662    346    177     89 
    32k:   1355    662    346    177     89 
    64k:    185    179    145    111     69 
   128k:    161    163    131    114     68 
   256k:    153    159    137    119     71 
   512k:    103    109    100     87     63 
  1024k:     50     47     35     36     29 
  2048k:     41     37     30     29     14 
  4096k:     40     37     30     29     18 
  8192k:     40     37     29     29     15 
 16384k:     39     37     29     25     16 
 32768k:     38     36     29     15     17 
 65536k:     38     36     29     22     16 
131072k:     38     36     29     25     13 
262144k:     38     36     28     16     13 

NanoPI3 - armv8-32 (S5P6818 @1.4 GHz - 32kB L1 - 512kB shared L2 - CA53)
   size:     4B     8B    16B    32B    64B
     4k:   1355    672    355    178     89 
     8k:   1355    672    355    178     89 
    16k:   1326    665    351    178     89 
    32k:   1326    665    355    178     89 
    64k:    189    180    144    109     68 
   128k:    157    171    153    124     76 
   256k:    151    163    149    122     75 
   512k:    102    110     96     87     63 
  1024k:     45     40     29     32     26 
  2048k:     41     35     14     29     17 
  4096k:     40     35     14     29     16 
  8192k:     40     35     12     29     16 
 16384k:     39     36     13     25     16 
 32768k:     38     34     13     24     16 
 65536k:     38     34     13     18     13 
131072k:     38     33     13     25     17 
262144k:     38     34     14     17     13 

Mirabox - armv7t (Armada370/88F6710 @1.2 GHz - PJ4B - 32k L1 / 256k L2)
   size:     4B     8B    16B    32B    64B
     4k:   1094    585    300    152     76 
     8k:    598    584    298    152     76 
    16k:    598    585    298    152     76 
    32k:    598    584    297    151     76 
    64k:    281    220    126     63     31 
   128k:    281    220    126     63     31 
   256k:    136    124     76     43     21 
   512k:     67     66     42     25     13 
  1024k:     63     63     40     25     13 
  2048k:     63     62     40     25     13 
  4096k:     63     62     40     25     13 
  8192k:     62     61     40     25     12 
 16384k:     62     61     40     25     12 
 32768k:     62     61     40     25     12 
 65536k:     62     61     40     25     12 
131072k:     61     61     39     25     12 
262144k:     61     60     39     25     12 

Mirabox - armv7 (Armada370/88F6710 @1.2 GHz - PJ4B - 32k L1 / 256k L2)
   size:     4B     8B    16B    32B    64B
     4k:   1160    618    385    191     95 
     8k:    598    559    289    166     83 
    16k:    598    559    289    166     83 
    32k:    597    538    261    156     79 
    64k:    281    216    125     63     32 
   128k:    281    216    124     63     32 
   256k:    140    120     74     42     21 
   512k:     67     62     39     24     12 
  1024k:     63     59     38     24     12 
  2048k:     63     59     38     24     12 
  4096k:     63     59     38     24     12 
  8192k:     62     58     38     24     12 
 16384k:     62     58     37     24     12 
 32768k:     62     58     37     24     12 
 65536k:     62     58     38     24     12 
131072k:     61     58     38     24     12 
262144k:     61     58     38     24     12 

DockStar - armv5 (88F6281 @1.2 GHz - ARM926EJ-S - 16k L1 / 256k L2)
   size:     4B     8B    16B    32B    64B
     4k:   1057    566    291    144     74 
     8k:   1050    569    299    151     72 
    16k:   1056    568    250    128     53 
    32k:     77     73     53     40     19 
    64k:     59     55     45     36     17 
   128k:     53     50     44     36     17 
   256k:     32     32     29     25     12 
   512k:     17     16     16     14      7 
  1024k:     14     14     13     13      6 
  2048k:     13     13     13     12      6 
  4096k:     13     13     13     12      6 
  8192k:     13     13     13     12      6 
 16384k:     13     13     13     12      6 

ClearFog A1 - armv7 (Armada388/88F6828 @ 2.0 GHz - CA9 - CA9 32k L1 / 1M L2)
   size:     4B     8B    16B    32B    64B
     4k:   1967    867    440    221    111 
     8k:   1968    867    440    221    111 
    16k:   1968    867    440    221    111 
    32k:   1968    867    440    221    111 
    64k:    253    243    144     86     44 
   128k:    211    202    122     77     42 
   256k:    212    196    121     76     42 
   512k:    214    195    121     76     42 
  1024k:    177    172    111     71     39 
  2048k:     50     50     44     33     21 
  4096k:     44     44     40     29     19 
  8192k:     43     43     39     28     18 
 16384k:     43     42     39     28     18 
 32768k:     42     42     39     28     18 
 65536k:     42     42     38     28     18 
131072k:     42     42     38     28     18 
262144k:     42     42     38     28     18 

ClearFog A1 - armv7t (Armada388/88F6828 @ 2.0 GHz - CA9 32k L1 / 1M L2)
   size:     4B     8B    16B    32B    64B
     4k:   1965    961    403    248    101 
     8k:   1968    961    403    247    101 
    16k:   1968    961    403    248    101 
    32k:   1968    961    403    248    101 
    64k:    258    258    148     89     46 
   128k:    211    212    123     77     42 
   256k:    213    212    122     77     42 
   512k:    213    214    121     77     42 
  1024k:    152    153    101     66     36 
  2048k:     50     50     44     33     21 
  4096k:     44     44     40     29     19 
  8192k:     43     43     39     28     18 
 16384k:     43     43     39     28     18 
 32768k:     42     42     38     28     18 
 65536k:     42     42     38     28     18 
131072k:     42     42     38     28     18 
262144k:     42     42     38     28     18 

cs008-1 - armv7 (RK3288 @1.608 GHz - DDR2@396 - CA17)
   size:     4B     8B    16B    32B    64B
     4k:   1606    965    478    240    120 
     8k:   1606    965    478    240    120 
    16k:   1606    965    478    240    120 
    32k:   1605    954    475    239    119 
    64k:    161    160    159    151     97 
   128k:    135    134    134    133     96 
   256k:    133    133    132    132     96 
   512k:    133    133    132    132     97 
  1024k:    128    129    130    125     92 
  2048k:     72     67     47     24     12 
  4096k:     62     57     40     19     10 
  8192k:     56     52     38     19     10 
 16384k:     53     51     37     18     10 
 32768k:     53     51     37     18     10 
